Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
28.03.2026 17:30:52,Universitet,"Automation, Artificial Intelligence",direktor,6,2,Bakı,Individual,Həftədə bir dəfə,Aydın deyil,Vacibdir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Raziyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Ümumilikdə kifayət deyil,,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Suallar zəif tərtib olunub. PhD akademik dərs keçmək lazimdir. 25 ildir bunu deyirlər. yerdə qalan tədbirlər 2-ci dərəcəli bir şeydir.,Yuxarida yazdım. Əməli iş görülmür. cavan müəllimlərin sayı azalır. yeni gələnlərin içindədə çox az sayda var ki işə ayarayır.
29.03.2026 12:40:38,Universitet,Economics,"Dosent, ştat",3,1,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacib deyil,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Raziyam,Qismən razıyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən kifayətdir,Heç razı deyiləm,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi","Rəhbər və doktorant arasında müntəzəm, strukturlaşdırılmış və yazılı geribildirimə əsaslanan iş sistemi qurmaq lazımdır","Doktorantura sisteminin effektivliyi yalnız fərdi səylərdən deyil, institusional yanaşmadan asılıdır. Ən yaxşı nəticə üçün rəhbərlik keyfiyyəti, maliyyə dəstəyi, beynəlxalqlaşma və şəffaf qiymətləndirmə mexanizmləri paralel şəkildə inkişaf etdirilməlidir."
30.03.2026 19:55:07,Elmi-tədqiqat İnstitutu,Economics,Tamştat,25,4,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacib deyil,Qismən razıyam,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Raziyam,Heç razı deyiləm,Raziyam,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Raziyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",Maliyyələşdirmə və sərbəstlik,1. Elmi rəhbərlərin maliyyələşməsini doktorantların özlərinin öz üzərinə götürməsi. təşkilatlat vasitəsi ilə edilməməsi. 2. qəbul tamamilə DİM-in tabeliyinə verilsin. 
02.04.2026 9:46:30,Universitet,"Transport Operation; Machines, Equipment and Processes","Texnika elmləri doktoru, professor - tam ştat",16,2,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Az əhəmiyyətlidir,Vacibdir,Çox vacibdir,Çox razıyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Raziyam,Tam kifayətdir,Raziyam,Qismən razıyam,3-4 il,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Heç razı deyiləm,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Rifah və psixi sağlamlıq dəstəyi","Dissertasiya mövzusunun aktuallığı, lakin dissertasiya tamamında aktuallıq dəyişmədən mövzunun korrektə olunması hüququ. Müdafiyə şürasının mövcudluğu, əks təqdirdə birdəfəlik şuranın yaradılmasının mövcud şüralara həvalə məcburiliyi. Qəbul imtahanlarının, müdafiyə şuralarının, seminarların ödənişlı əsaslarla təmini. Doktoronturaya qəbula qədər elmi rəhbərin müəyyənləşdirilməsi və mövzunun formalaşdırılması. Doktarantın passivliyi əsasında, və ya dövrü hesbat təqdim olunmadıqda təhsilin dayandırılması.  ","Doktorantura istiqaməti təhsili və ya şifri hazırki iş fəaliyyəti ilə tam uyğun olması əsasdır. Hansı istiqamətdə təhsil alıb və ya real işləyirsə sırf o istiqamətdə də disertasiya yazılmalı və müdafiyəyə buraxljmalıdır. Məsələn Gəmi sürücülüyü ixtisasını bitirib, gəmi kapitanı işləyib, naviqasiyadan dərs deyərək ""Dirsəkli valın qaynaq üsulu ilə bərpası"" və ya ""Plunjerin paslanması məsələləri"" - gəmi mexanikası ixtisası adlandırılaraq müdafiyəsi gülüncdür və yol verilməzdir.  "
02.04.2026 17:50:17,Universitet,Pedagogy (Teaching Methodology),Ştat ,5,2,Bakı,Individual,3 ayda bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən kifayətdir,Qismən razıyam,Heç razı deyiləm,4-5 il,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Bəli, əsasən mən",Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Maliyyə ,Rəhbərin məvacib məsələsinin stimullaşdırılması 
02.04.2026 17:55:48,Universitet,Finance and Artificial Intelligence,professor,35,5,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Ümumilikdə kifayət deyil,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,3-4 il,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Çox razıyam,Çox razıyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları, Münaqişələrin həlli mexanizmləri","AAK ləğv olunmalı.  Qərb universitetində olduğu kimi hüquq  Universitetə verilməli, Publikasiya tələbi aradan qaldırılmalı.","Doktorantura təhsili başı üstdən ayağı üstə qoyulmalı, yəni tam yenilənməlidir. Qərb universiteti təcrübəsinə uyğun qurulmalıdır. "
02.04.2026 17:56:19,Universitet,Biology,Professor,4,2,Abşeron - Xızı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,3-4 il,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",Bu istiqamətdə yenilikləri öyrədici treninqlər,Ən azı ilk mərhələlərdə bu sahəyə investisiya qoyuluşu artırılmalıdır
02.04.2026 19:18:23,Universitet,General Economics,Professor ştat,9,5,Abşeron - Xızı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi","Elmi rəhbərlik statusunun gücləndirilməsi və ödənişinin adekvatlığı, layiqli ödəniş mexanizminin tətbiqi","Doktorantura şöbələrinə rəhbərlərin təyinatında peşəkarlığın nəzərə alınması, İllik attestasiyaların elmi seminar formasında keçirilməsi; doktorantlar üçün məqsədli təlimlərin keçirilməsi və s."
02.04.2026 20:12:35,Hazırda işləmirəm,"Geography, Demography, Urban and Regional Geography",müstəqil ekspert,25,,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Qismən razıyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Tam kifayətdir,Raziyam,Raziyam,4-5 il,Raziyam,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi","Elmi rəhbərlərin məsuliyyət daşıması, onlara maliyyə dəstəyininin və məsuliyyətinin artırılması",Doktorantlar sırasına elmi cəhətdən yetkin və hazırlıqlı namizədlərin seçilməsi vacibdir
02.04.2026 20:39:08,Universitet,"Pedagogy, Social Philosophy","ştat, professor əvəzi",,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Az əhəmiyyətlidir,Vacibdir,Vacibdir,Vacib deyil,Vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən kifayətdir,Qismən razıyam,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",,
02.04.2026 21:37:17,Universitet,Economics,dosent tam ştat,5,4,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacib deyil,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi, Rifah və psixi sağlamlıq dəstəyi","Elmi rəhbərlərin  elmi adlarına görə deyil, elmi-pedaqoji fəaliyyətinə görə seçilməsi ", Doktorantların ildə 2 dəfədən az olmayaraq təlimlərə cəlb olunması və hesabat verməsi 
02.04.2026 22:10:31,Universitet,Institutional Approach to Economic Growth,ştat,3,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Ümumilikdə kifayət deyil,Raziyam,Cavab verməkdə çətinlik çəkirəm,4-5 il,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,"Bəli, əsasən mən",Çox razıyam,Çox razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlik üçün institusional dəstək",Universitet rektorlarinin semeresiz kadrilar ve yaxinlarindan ibaret cercivede fealiyet gostermesi ,KADR onemli faktordur gerisi duzelebilecekdir real savadli kadrilarin bilik ve tecrubesi ile
02.04.2026 22:12:01,Hər ikisi,History,"Ştat- elmi katib, saathesabı-müəllim",3,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacib deyil,Çox vacibdir,Çox vacibdir,Vacib deyil,Vacibdir,Vacibdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Əsasən kifayət deyil,Heç razı deyiləm,Qismən razıyam,5-6 il,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",İş yükünün düzgün müəyyən olunması və rəhbərlik üçün ayrılan vəsaitin doğru müəyyənləşdirilməsi,"Ümumiyyətlə beynəlxalq sistem əsas alınmalı, birpilləli müdafiə sisteminə keçilməli, doktorantura təhsilinin müddəti artırılmalı, minimum 4 il olmalıdır."
02.04.2026 23:16:22,Universitet,Economic Theory,"Ştat, Dosent",3,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Raziyam,Heç razı deyiləm,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,3-4 il,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Çox razıyam,Raziyam,"Qaydaların aydınlığı və sabitliyi, Doktorantlar üçün maliyyə dəstəyi, Qeyri-akademik karyeraya hazırlıq, Münaqişələrin həlli mexanizmləri",,
03.04.2026 8:40:51,Elmi-tədqiqat İnstitutu,Molecular Biology,Direktor,20,5,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacib deyil,Raziyam,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Qismən kifayətdir,Raziyam,Qismən razıyam,4-5 il,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"İnzibati səmərəlilik və müddətlər, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Doktorantlar üçün maliyyə dəstəyi,
03.04.2026 9:27:29,Universitet,Marketing,tam,4,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacib deyil,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Çox razıyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Heç razı deyiləm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",Doktorantura elmi rəhbərliyi aktiv yük kimi nəzərdə tutulmalıdır. Doktorantların təyini ixtisasa uyğun şəkildə həyata keçirilməlidir.,"Doktoranturada inzibati qaydalar işin keyfiyyətinə, aktuallığına və zamanında yerinə yetirilməsinə mane olur. Dünya təcrübəsində doktorantlara tədqiqat mövzuları universitet daxilində (institutlarda) verilir. Mövzunun təsdiqi, elmi rəhbərin təyini, semestr üzrə hesabatların təqdimatı və s. hamısı bir universitet tərkibində həyata keçirilir. Mövzunun təsdiqi üçün bir quruma, müdafiə üçün də başqa bir quruma ehtiyac duyulmur. 
Hal hazırda doktorantura təhsili seçənlərin əksəriyyəti həqiqi hərbi xidmətdən yayınmaq üçün verilir. Doktorant seçərkən daha həssas yanaşma tətbiq edilməsini təklif edirəm"
03.04.2026 9:41:20,Elmi-tədqiqat İnstitutu,Biotechnology,Biotexnologiya və Biomühəndislik laboratoriyasının müdiri,7,4,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Raziyam,Heç razı deyiləm,Raziyam,Raziyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Raziyam,Çox razıyam,4-5 il,Raziyam,Raziyam,Çox razıyam,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,"Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",İnstusional dəstək və  maliyyə dəstəyi ,Doktorantların daha yaxşı işləməsi və tədqiqatlarını tamamlaması üçün maddi texniki bazanın inkişaf etdirilməsi vacibdir.
03.04.2026 9:53:17,Universitet,Teaching Methodology (Mathematics and Informatics Education),Tam ştat,18,5,Bakı,,Ayda bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Vacib deyil,Vacibdir,Vacibdir,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Raziyam,3 ildən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Qismən razıyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Raziyam,"Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi, Münaqişələrin həlli mexanizmləri",Əmək haqqını və məsuliyyəti artırmaq.,"Dissertasiya şuralarının vaxtında iddiaçının işinə baxılmasını təmin etmək və AAK-da vaxtında , ədalətli qərar vermək."
03.04.2026 10:51:34,Universitet,Solid State Physics,dosent,5,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,4-5 il,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Raziyam,"Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi","Elmi rəhbərliik fərdi ustalıqdan, “təsadüfi görüşlər”dən çıxıb sistemli prosesə çevrilməlidir. ","1.Elmi rəhbərlik keyfiyyətinin qiymətləndirilməsi sistemi qurulsun (doktorantların anonim rəyi və nəticələr əsasında rəhbərlər mütəmadi dəyərləndirilsin).
2.Hər doktoranta ən azı iki elmi rəhbər təyin olunsun (biri sahə üzrə, digəri metodologiya/analitika üzrə).
3.Beynəlxalq əməkdaşlıq və qısa müddətli xarici tədqiqat imkanları genişləndirilsin (ən azı 3–6 aylıq elmi səfərlər təşviq edilsin)"
03.04.2026 11:28:58,Universitet,World Economy,0.5 ştat müəllim,8,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacib deyil,Raziyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,3-4 il,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",,
